Productcat,Date,Sales
ProdCat11,08-03-2014,
ProdCat11,11-03-2014,
ProdCat11,12-03-2014,
ProdCat11,13-03-2014,
ProdCat11,14-03-2014,
ProdCat11,15-03-2014,
ProdCat11,18-03-2014,
ProdCat11,19-03-2014,
ProdCat11,20-03-2014,
ProdCat11,21-03-2014,
ProdCat11,22-03-2014,
ProdCat11,25-03-2014,
ProdCat11,26-03-2014,
ProdCat11,27-03-2014,
ProdCat11,28-03-2014,
ProdCat11,29-03-2014,
ProdCat12,01-03-2014,
ProdCat12,04-03-2014,
ProdCat12,05-03-2014,
ProdCat12,06-03-2014,
ProdCat12,07-03-2014,
ProdCat12,08-03-2014,
ProdCat12,11-03-2014,
ProdCat12,12-03-2014,
ProdCat12,13-03-2014,
ProdCat12,14-03-2014,
ProdCat12,15-03-2014,
ProdCat12,18-03-2014,
ProdCat12,19-03-2014,
ProdCat12,20-03-2014,
ProdCat12,21-03-2014,
ProdCat12,22-03-2014,
ProdCat12,25-03-2014,
ProdCat12,26-03-2014,
ProdCat12,27-03-2014,
ProdCat12,28-03-2014,
ProdCat12,29-03-2014,
ProdCat13,01-03-2014,
ProdCat13,04-03-2014,
ProdCat13,05-03-2014,
ProdCat13,06-03-2014,
ProdCat13,07-03-2014,
ProdCat13,08-03-2014,
ProdCat13,11-03-2014,
ProdCat13,12-03-2014,
ProdCat13,13-03-2014,
ProdCat13,14-03-2014,
ProdCat13,15-03-2014,
ProdCat13,18-03-2014,
ProdCat13,19-03-2014,
ProdCat13,20-03-2014,
ProdCat13,21-03-2014,
ProdCat13,22-03-2014,
ProdCat13,25-03-2014,
ProdCat13,26-03-2014,
ProdCat13,27-03-2014,
ProdCat13,28-03-2014,
ProdCat13,29-03-2014,
ProdCat14,01-03-2014,
ProdCat14,04-03-2014,
ProdCat14,05-03-2014,
ProdCat14,06-03-2014,
ProdCat14,07-03-2014,
ProdCat14,08-03-2014,
ProdCat14,11-03-2014,
ProdCat14,12-03-2014,
ProdCat14,13-03-2014,
ProdCat14,14-03-2014,
ProdCat14,15-03-2014,
ProdCat14,18-03-2014,
ProdCat14,19-03-2014,
ProdCat14,20-03-2014,
ProdCat14,21-03-2014,
ProdCat14,22-03-2014,
ProdCat14,25-03-2014,
ProdCat14,26-03-2014,
ProdCat14,27-03-2014,
ProdCat14,28-03-2014,
ProdCat14,29-03-2014,
ProdCat15,01-03-2014,
ProdCat15,04-03-2014,
ProdCat15,05-03-2014,
ProdCat15,06-03-2014,
ProdCat15,07-03-2014,
ProdCat15,08-03-2014,
ProdCat15,11-03-2014,
ProdCat15,12-03-2014,
ProdCat15,13-03-2014,
ProdCat15,14-03-2014,
ProdCat15,15-03-2014,
ProdCat15,16-03-2014,
ProdCat15,18-03-2014,
ProdCat15,19-03-2014,
ProdCat15,20-03-2014,
ProdCat15,21-03-2014,
ProdCat15,22-03-2014,
ProdCat15,25-03-2014,
ProdCat15,26-03-2014,
ProdCat15,27-03-2014,
ProdCat15,28-03-2014,
ProdCat15,29-03-2014,
ProdCat16,01-03-2014,
ProdCat16,04-03-2014,
ProdCat16,05-03-2014,
ProdCat16,06-03-2014,
ProdCat16,07-03-2014,
ProdCat16,08-03-2014,
ProdCat16,11-03-2014,
ProdCat16,12-03-2014,
ProdCat16,13-03-2014,
ProdCat16,14-03-2014,
ProdCat16,15-03-2014,
ProdCat16,18-03-2014,
ProdCat16,19-03-2014,
ProdCat16,20-03-2014,
ProdCat16,21-03-2014,
ProdCat16,22-03-2014,
ProdCat16,25-03-2014,
ProdCat16,26-03-2014,
ProdCat16,27-03-2014,
ProdCat16,28-03-2014,
ProdCat16,29-03-2014,
ProdCat17,01-03-2014,
ProdCat17,04-03-2014,
ProdCat17,05-03-2014,
